"achievement_id","desc","type","typeDescription","unit","unitDescription","current","target"
"1","R.string.ach_des_1","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"2","R.string.ach_des_2","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","2"
"3","R.string.ach_des_3","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","3"
"4","R.string.ach_des_4","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","5"
"5","R.string.ach_des_5","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","10"
"6","R.string.ach_des_6","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","20"
"7","R.string.ach_des_7","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","50"
"8","R.string.ach_des_8","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","1"
"9","R.string.ach_des_9","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","5"
"10","R.string.ach_des_10","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","10"
"11","R.string.ach_des_11","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","25"
"12","R.string.ach_des_12","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","50"
"13","R.string.ach_des_13","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","100"
"14","R.string.ach_des_14","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","200"
"15","R.string.ach_des_15","3","R.string.ach_type_waterchange","0","R.string.ach_unit_type_water","0","500"
"16","R.string.ach_des_16","4","R.string.ach_type_daysofcare","7","R.string.ach_unit_type_days","0","7"
"17","R.string.ach_des_17","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","1"
"18","R.string.ach_des_18","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","3"
"19","R.string.ach_des_19","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","6"
"20","R.string.ach_des_20","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","12"
"21","R.string.ach_des_21","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","24"
"22","R.string.ach_des_22","6","R.string.ach_type_milestone","3","R.string.ach_unit_type_milestone","0","1"
"23","R.string.ach_des_23","6","R.string.ach_type_milestone","3","R.string.ach_unit_type_milestone","0","5"
"24","R.string.ach_des_24","6","R.string.ach_type_milestone","3","R.string.ach_unit_type_milestone","0","10"
"25","R.string.ach_des_25","7","R.string.ach_type_photo","4","R.string.ach_unit_type_photo","0","1"
"26","R.string.ach_des_26","7","R.string.ach_type_photo","4","R.string.ach_unit_type_photo","0","5"
"27","R.string.ach_des_27","7","R.string.ach_type_photo","4","R.string.ach_unit_type_photo","0","20"
"28","R.string.ach_des_28","8","R.string.ach_type_note","5","R.string.ach_unit_type_notedlogs","0","5"
"29","R.string.ach_des_29","8","R.string.ach_type_note","5","R.string.ach_unit_type_notedlogs","0","20"
"30","R.string.ach_des_30","8","R.string.ach_type_note","5","R.string.ach_unit_type_notedlogs","0","50"
"31","R.string.ach_des_31","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"32","R.string.ach_des_32","11","R.string.ach_type_logs","2","R.string.unit_type_logs","0","5"
"33","R.string.ach_des_33","11","R.string.ach_type_logs","2","R.string.unit_type_logs","0","20"
"34","R.string.ach_des_34","9","R.string.ach_type_name","8","R.string.unit_type_marimonamed","0","1"
"35","R.string.ach_des_35","9","R.string.ach_type_name","8","R.string.unit_type_marimonamed","0","3"
"36","R.string.ach_des_36","10","R.string.ach_type_marimowithphoto","10","R.string.unit_type_withphoto","0","1"
"37","R.string.ach_des_37","10","R.string.ach_type_marimowithphoto","10","R.string.unit_type_withphoto","0","5"
"38","R.string.ach_des_38","8","R.string.ach_type_note","11","R.string.unit_type_notewrite","0","1"
"39","R.string.ach_des_39","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"40","R.string.ach_des_40","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"41","R.string.ach_des_41","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"42","R.string.ach_des_42","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","3"
"43","R.string.ach_des_43","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"44","R.string.ach_des_44","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"45","R.string.ach_des_45","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","6"
"46","R.string.ach_des_46","5","R.string.ach_type_monthsofcare","6","R.string.ach_unit_type_months","0","12"
"47","R.string.ach_des_47","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"48","R.string.ach_des_48","8","R.string.ach_type_note","11","R.string.unit_type_notewrite","0","5"
"49","R.string.ach_des_49","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","25"
"50","R.string.ach_des_50","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","50"
"51","R.string.ach_des_51","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","1"
"52","R.string.ach_des_52","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","3"
"53","R.string.ach_des_53","1","R.string.ach_type_marimo","1","R.string.unit_type_marimos","0","10"
